id,title,budget,revenue,vote_average,vote_count,release_date,runtime,genres,original_language,production_countries,production_companies
13394,Shrek the Halls,60000000,0,6.4,838,2007-11-28,28,"Adventure, Animation, Comedy, Fantasy, Family",en,['United States of America'],"DreamWorks Animation, Pacific Data Images"
13204,Hellboy Animated: Blood and Iron,0,0,6.3,113,2007-03-10,75,"Animation, Fantasy, Horror, Action, Thriller, Science Fiction",en,['United States of America'],"IDT Entertainment, Film Roman"
4964,Knocked Up,30000000,219900000,6.3,3907,2007-06-01,129,"Comedy, Romance, Drama",en,['United States of America'],"Apatow Productions, Universal Pictures"
7350,The Bucket List,45000000,175400000,7.2,3723,2007-12-25,97,"Drama, Comedy",en,['United States of America'],"Two Ton Films, Zadan / Meron Productions, Reiner / Greisman Productions"
15212,Species: The Awakening,3800000,0,4.7,253,2007-10-02,98,"Horror, Science Fiction, Thriller",en,['United States of America'],"360 Pictures, Metro-Goldwyn-Mayer"
13640,Superman: Doomsday,3500000,0,6.7,604,2007-09-18,75,"Action, Animation, Science Fiction",en,['United States of America'],"DC, Warner Bros. Animation"
2976,Hairspray,75000000,90450008,6.7,2449,2007-07-19,117,"Comedy, Romance, Drama",en,"['United Kingdom', 'United States of America']","Offspring Entertainment, New Line Cinema, Zadan / Meron Productions, Ingenious Media"
21141,Simon Says,3000000,0,5.1,89,2007-09-25,87,"Horror, Thriller",en,['United States of America'],"Blue Cactus Pictures, Darkmoon Pictures"
2698,Evan Almighty,175000000,174400000,5.574,4219,2007-06-09,96,"Fantasy, Comedy, Family",en,['United States of America'],"Universal Pictures, Spyglass Entertainment, Relativity Media, Shady Acres Entertainment, Original Film"
13957,Closing the Ring,23000000,0,6.1,95,2007-09-14,118,"Drama, Romance",en,"['Canada', 'United Kingdom', 'United States of America']","CTR, Spinster, Prospero Pictures"
38410,The Poughkeepsie Tapes,0,0,6.6,613,2007-04-27,81,"Horror, Mystery, Crime, Thriller",en,['United States of America'],"Metro-Goldwyn-Mayer, Brothers Dowdle Productions, Poughkeepsie Films, Orion Pictures"
9955,Blades of Glory,53000000,118200000,6.1,1725,2007-03-30,93,Comedy,en,['United States of America'],"DreamWorks Pictures, MTV Films, Red Hour, Smart Entertainment"
3594,The Number 23,30000000,77677553,6.4,3166,2007-02-23,98,"Thriller, Mystery, Crime",en,"['Germany', 'United States of America']","Firm Films, New Line Cinema, Contrafilm"
2359,Sicko,9000000,24538513,7.4,694,2007-05-18,123,"Documentary, Comedy, Drama",en,['United States of America'],"The Weinstein Company, Dog Eat Dog Films"
1931,Stomp the Yard,13000000,75511123,7.0,440,2007-05-16,114,"Drama, Music",en,['United States of America'],"Screen Gems, Rainforest Entertainment"
4688,Across the Universe,45000000,29625761,7.1,1319,2007-09-14,133,"Drama, Romance, Fantasy",en,['United States of America'],"Revolution Studios, Team Todd, Gross Entertainment, Sound Films"
10294,Vacancy,19000000,35300645,6.3,1435,2007-04-20,85,"Horror, Thriller",en,['United States of America'],"Screen Gems, Hal Lieberman Company"
7326,Juno,7500000,232372681,7.054,7086,2007-12-05,96,"Comedy, Drama, Romance",en,['United States of America'],"Mandate Pictures, Mr. Mudd, Fox Searchlight Pictures"
9408,Surf's Up,85000000,149000000,6.441,2458,2007-06-08,85,"Animation, Comedy, Family",en,"['Canada', 'United Kingdom', 'United States of America']","Columbia Pictures, Sony Pictures Animation, Sony Pictures Imageworks"
13022,Rogue,20000000,4600000,6.4,669,2007-11-08,99,"Action, Horror, Thriller",en,"['Australia', 'United States of America']","Dimension Films, Village Roadshow Pictures, Emu Creek Pictures"
22331,The Ten Commandments,10000000,1100000,5.9,31,2007-10-19,88,"Animation, Drama, Family, Fantasy",en,['United States of America'],"Promenade Pictures, Ten Chimneys Entertainment"
19580,The Dukes of Hazzard: The Beginning,5000000,0,6.2,189,2007-03-04,95,"Action, Adventure, Comedy, TV Movie",en,['United States of America'],"Warner Premiere, Gerber Pictures, Hollywood Media Bridge"
1738,Next,70000000,76066841,6.1,2912,2007-04-25,96,"Action, Science Fiction, Thriller",en,['United States of America'],"Virtual Studios, Revolution Studios, Saturn Films, Paramount Pictures, Broken Road Productions, Initial Entertainment Group, Eyetronics"
13008,An American Crime,2000000,0,7.3,675,2007-07-27,97,"Crime, Drama, Horror",en,['United States of America'],"First Look International, Killer Films, Showtime Networks"
11835,Death Sentence,20000000,17000000,6.8,1124,2007-08-31,105,"Action, Crime, Drama, Thriller",en,['United States of America'],"Baldwin Entertainment Group, 20th Century Fox, Hyde Park Entertainment"
15356,The Girl Next Door,0,0,6.7,701,2007-07-19,91,"Thriller, Crime, Drama, Horror",en,['United States of America'],"Modernciné, Modern Girl Productions"
4517,Elizabeth: The Golden Age,55000000,74237563,6.717,1199,2007-09-09,114,"Drama, History, Romance",en,"['France', 'United States of America', 'United Kingdom']","Universal Pictures, StudioCanal, Working Title Films"
46169,Twitches Too,0,0,6.7,339,2007-10-12,83,"Drama, Family, Fantasy, TV Movie",en,['United States of America'],
16962,Barbie Fairytopia: Magic of the Rainbow,0,0,6.8,434,2007-03-13,75,"Animation, Family, Fantasy, Romance",en,['United States of America'],Mattel
12435,The Nanny Diaries,20000000,47817020,6.4,1124,2007-08-24,106,"Comedy, Drama, Romance",en,['United States of America'],"The Weinstein Company, FilmColony"
6639,Love in the Time of Cholera,45000000,4607608,6.6,372,2007-10-04,139,"Drama, Romance",en,['United States of America'],"New Line Cinema, Grosvenor Park Media, Summit Entertainment, Stone Village Pictures"
1534,Pathfinder,45000000,30800000,5.675,701,2007-01-11,99,"Adventure, Action",en,['United States of America'],"Dune Entertainment, Phoenix Pictures, Major Studio Partners, 20th Century Fox"
6023,P.S. I Love You,30000000,156835339,7.2,3266,2007-11-15,126,"Drama, Romance",en,['United States of America'],"Wendy Finerman Productions, Alcon Entertainment, Warner Bros. Pictures, Grosvenor Park Films LLP, Summit Entertainment"
4413,The Brave One,70000000,69766619,6.6,949,2007-09-12,122,"Crime, Drama, Thriller",en,['United States of America'],"Village Roadshow Pictures, Silver Pictures, Warner Bros. Pictures"
11172,Music and Lyrics,40000000,145896422,6.4,1641,2007-02-09,105,"Comedy, Music, Romance",en,['United States of America'],"Castle Rock Entertainment, Village Roadshow Pictures, Reserve Room, Flower Films"
21373,Descent,0,0,4.4,48,2007-04-26,110,"Drama, Thriller",en,['United States of America'],"City Lights Pictures, M.E.G.A. Films, Trybe Films"
17097,After Sex,825000,0,5.6,229,2007-09-26,78,"Comedy, Romance, Drama",en,['United States of America'],"Supino Pictures, NALA Films"
5375,Fred Claus,100000000,97800000,5.8,828,2007-11-09,115,"Action, Comedy, Drama",en,['United States of America'],"Jessie Nelson Productions, Silver Pictures, David Dobkin Productions, Warner Bros. Pictures"
14636,The Condemned,20000000,8600000,6.1,772,2007-04-27,113,"Action, Thriller",en,['United States of America'],"Condemned Productions, Sidestreet Entertainment, WWE Studios, Colossal Entertainment, New Wave Entertainment, Lionsgate"
9760,Epic Movie,20000000,87238158,3.855,1514,2007-01-25,85,"Comedy, Adventure, Fantasy",en,['United States of America'],"Regency Enterprises, New Regency Pictures, Paul Schiff Productions, 20th Century Fox"
1683,The Reaping,40000000,62771059,5.752,807,2007-04-05,99,Horror,en,['United States of America'],"Dark Castle Entertainment, Chime Films, Eyetronics, Village Roadshow Pictures, Warner Bros. Pictures"
1858,Transformers,150000000,709709780,6.804,11132,2007-06-27,144,"Adventure, Science Fiction, Action",en,['United States of America'],"DreamWorks Pictures, di Bonaventura Pictures, DeSanto/Murphy Productions, Paramount Pictures"
2001,We Own the Night,21000000,55033767,6.694,1343,2007-10-12,118,"Drama, Crime, Thriller",en,['United States of America'],"2929 Productions, Nick Wechsler Productions, Columbia Pictures, Mandate International"
8271,Disturbia,20000000,117760134,6.693,3632,2007-03-27,105,"Thriller, Drama, Mystery",en,['United States of America'],The Montecito Picture Company
14313,Feast of Love,0,3504875,6.2,232,2007-09-28,101,"Romance, Drama",en,['United States of America'],"Revelations Entertainment, Lakeshore Entertainment, Metro-Goldwyn-Mayer, GreeneStreet Films"
6575,Walk Hard: The Dewey Cox Story,35000000,18317151,6.6,660,2007-12-21,96,"Comedy, Music",en,['United States of America'],"Apatow Productions, Columbia Pictures"
17038,Lake Placid 2,0,0,4.9,217,2007-04-28,88,"Horror, Science Fiction",en,"['Canada', 'United States of America']","Asgaard Branding, 20th Century Fox, Sony Pictures"
21860,Born,0,0,3.9,24,2007-10-17,107,Horror,en,['United States of America'],Devil's Child Picture Company
10758,Waitress,1500000,22240529,6.7,514,2007-05-25,105,"Drama, Comedy, Romance",en,['United States of America'],"Night & Day Pictures, Fox Searchlight Pictures"
17334,The Other End of the Line,14000000,115592,6.5,171,2007-03-23,106,"Comedy, Romance",en,"['India', 'United Kingdom', 'United States of America']","Brass Hat Films, Adlabs Films Ltd., Metro-Goldwyn-Mayer, Hyde Park Entertainment"
4858,The Invasion,80000000,40170558,6.0,1485,2007-08-17,99,"Science Fiction, Thriller, Mystery, Action, Horror",en,"['United States of America', 'Australia']","Village Roadshow Pictures, Silver Pictures, Vertigo Entertainment, Warner Bros. Pictures"
3638,No Reservations,28000000,92601050,6.6,1306,2007-06-15,104,"Comedy, Romance, Drama",en,"['Australia', 'United States of America']","Castle Rock Entertainment, Storefront Pictures, Village Roadshow Pictures, WV Films III, Warner Bros. Pictures"
1257,Because I Said So,0,69485490,5.9,618,2007-02-02,102,"Romance, Comedy",en,['United States of America'],"Gold Circle Films, Universal Pictures, Mandate International"
7211,Dan in Real Life,25000000,68474305,6.5,1185,2007-10-26,98,"Comedy, Romance, Drama",en,['United States of America'],"Touchstone Pictures, Focus Features, Jon Shestack Productions"
15403,Ben 10: Secret of the Omnitrix,0,0,7.4,226,2007-08-10,71,"Animation, Science Fiction, Family",en,['United States of America'],Cartoon Network Studios
4515,Lions for Lambs,35000000,64811540,6.0,741,2007-10-22,92,"Action, Adventure, Drama, History",en,['United States of America'],"United Artists, Wildwood Enterprises, Andell Entertainment, Brat Na Pont Productions"
10822,Savage Grace,4600000,1432799,5.6,186,2007-05-18,97,Drama,en,"['United States of America', 'Spain', 'France']","Celluloid Dreams, Montfort Producciones, Killer Films, John Wells Productions"
6589,Underdog,25000000,65270477,5.499,688,2007-08-03,82,"Family, Action, Adventure, Comedy, Fantasy, Science Fiction",en,['United States of America'],"Walt Disney Pictures, Classic Media, Have No Fear Productions, Spyglass Entertainment, Maverick Films"
4723,Southland Tales,17000000,374743,5.2,532,2007-11-14,144,"Science Fiction, Thriller, Comedy",en,"['Germany', 'United States of America', 'France']","Cherry Road Films, Darko Entertainment, MHF Zweite Academy Film, Academy Film, Destination Films, Inferno Distribution, Wild Bunch"
