title,budget,revenue,vote_average,vote_count,release_date,runtime,genres,original_language
Cyst,0,0,4.7,48,2020-09-24,68,"Horror, Science Fiction, Comedy",en
Mariah Carey's Magical Christmas Special,0,0,6.2,58,2020-12-03,43,"Family, Music",en
Ma Rainey's Black Bottom,0,0,6.673,1139,2020-11-25,94,"Drama, Music",en
Marudase Kintarou,0,0,4.9,8,2020-12-11,10,"Romance, Comedy, Animation",ja
All My Life,25000000,2000000,7.843,475,2020-10-23,93,"Romance, Drama",en
Sleeping Forest Michiko,0,0,0.0,0,2020-09-25,80,Romance,ja
Pixie,0,479317,5.841,116,2020-10-16,93,"Comedy, Crime, Thriller",en
Folklore: The Long Pond Studio Sessions,0,0,8.5,156,2020-11-25,106,"Music, Documentary",en
Fatal Affair,0,0,5.6,284,2020-07-16,89,Thriller,en
10 Things We Should Do Before We Break Up,5000000,0,5.3,108,2020-03-05,75,"Drama, Romance",en
Crip Camp: A Disability Revolution,0,0,7.2,141,2020-03-25,107,Documentary,en
The Dark and the Wicked,0,289157,6.166,430,2020-10-29,95,"Horror, Drama, Mystery",en
Wander,0,4609,5.28,284,2020-12-04,94,"Thriller, Crime, Mystery",en
Hunter Hunter,0,0,6.343,302,2020-12-18,93,"Horror, Thriller, Mystery",en
The Eight Hundred,80000000,461421559,7.0,259,2020-08-14,147,"War, History, Drama, Action",zh
Synchronic,0,1019041,6.333,922,2020-10-23,101,"Drama, Horror, Science Fiction, Thriller",en
Nocturne,0,0,5.9,442,2020-10-13,90,"Horror, Mystery, Thriller",en
Cats & Dogs 3: Paws Unite,17000000,4200000,6.2,199,2020-10-02,84,"Family, Comedy, Action",en
The Father,6000000,21029340,8.123,3142,2020-12-23,96,Drama,en
Agent Jade Black,0,0,3.6,5,2020-09-29,101,Action,en
Return of the Tooth Fairy,0,0,6.455,850,2020-06-15,91,Horror,en
"Endings, Beginnings",0,0,6.111,238,2020-06-24,110,"Romance, Drama",en
Spenser Confidential,0,0,6.538,2263,2020-03-06,110,"Comedy, Action, Thriller",en
Echo Boomers,0,0,5.794,107,2020-11-13,94,"Crime, Drama, Action",en
Occupation: Rainfall,25000000,331091,6.2,235,2020-10-30,128,"Science Fiction, Action",en
Flashback,0,26747,6.1,283,2020-10-08,97,Thriller,en
Bill & Ted Face the Music,25000000,6300000,5.92,920,2020-08-27,91,"Comedy, Science Fiction, Adventure",en
Made in Italy,0,0,5.971,263,2020-07-09,94,"Comedy, Drama",en
Saint Maud,0,1640866,6.613,711,2020-10-09,85,"Horror, Mystery, Drama",en
Lost Girls,0,0,6.1,687,2020-01-28,95,"Drama, Mystery, Thriller, History",en
