title,production_countries,revenue,id,genres,vote_count,original_language,imdb_id,release_date,popularity,budget,vote_average,runtime
Vadakkupatti Ramasamy,"[{'iso_3166_1': 'IN', 'name': 'India'}]",0,1115680,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",4,ta,tt26445355,2024-02-02,2.415,0,6.25,144
They Wait in the Dark,[],0,999681,"[{'id': 27, 'name': 'Horror'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",19,en,tt14107778,2022-08-27,2.415,0,5.3,85
Yo no soy esa,"[{'iso_3166_1': 'ES', 'name': 'Spain'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",0,1235913,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",0,es,tt27672967,2024-10-31,2.414,0,0.0,95
Tales of Babylon,"[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",0,997380,"[{'id': 53, 'name': 'Thriller'}]",8,en,tt15554886,2023-06-11,2.414,0,5.5,125
Hazel,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",0,1360905,"[{'id': 99, 'name': 'Documentary'}]",0,en,,2024-10-17,2.413,0,0.0,12
Bruce Dickinson - Hellfest 2024,"[{'iso_3166_1': 'FR', 'name': 'France'}]",0,1311189,"[{'id': 10402, 'name': 'Music'}]",1,fr,,2024-06-29,2.413,0,8.0,64
Abah and His Band,"[{'iso_3166_1': 'BR', 'name': 'Brazil'}]",0,1291458,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}]",0,pt,,2024-08-09,2.412,0,0.0,0
"PHISH: 2024-04-18 SPHERE LAS VEGAS, NV","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",0,1276995,"[{'id': 10402, 'name': 'Music'}]",1,en,,2024-04-18,2.412,0,9.0,226
Billy,"[{'iso_3166_1': 'CA', 'name': 'Canada'}]",0,1276265,"[{'id': 99, 'name': 'Documentary'}]",0,fr,,2024-04-17,2.412,0,0.0,107
Inverse,[],0,970390,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 9648, 'name': 'Mystery'}, {'id': 14, 'name': 'Fantasy'}]",0,hi,,2024-12-29,2.412,0,0.0,182
A day in the life of Arthur Rayman,"[{'iso_3166_1': 'NZ', 'name': 'New Zealand'}]",0,1339014,"[{'id': 99, 'name': 'Documentary'}]",0,en,,2024-08-26,2.411,30,0.0,150
Yellowbird,[],0,1308090,"[{'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",0,en,,2024-10-31,2.411,0,0.0,0
Naniwa Danshi LIVE TOUR 2023 'POPMALL',[],0,1289159,"[{'id': 99, 'name': 'Documentary'}]",1,en,,2024-02-14,2.411,0,10.0,146
"Amazones, femmes guerrières de l'Antiquité","[{'iso_3166_1': 'FR', 'name': 'France'}]",0,1255547,"[{'id': 99, 'name': 'Documentary'}, {'id': 36, 'name': 'History'}, {'id': 10770, 'name': 'TV Movie'}]",2,fr,,2024-03-07,2.411,0,9.0,0
Ash Wednesday,"[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",0,1252059,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]",0,en,tt31308342,2024-02-29,2.411,0,0.0,9
A Girl Out of the Country,"[{'iso_3166_1': 'TW', 'name': 'Taiwan'}]",0,1015623,"[{'id': 18, 'name': 'Drama'}]",0,zh,,2023-10-21,2.411,0,0.0,100
Homing,[],0,1356780,"[{'id': 16, 'name': 'Animation'}]",0,zh,,2024-10-18,2.41,0,0.0,7
Dorival Caymmi - Um Homem de Afetos,"[{'iso_3166_1': 'BR', 'name': 'Brazil'}]",0,1103457,"[{'id': 99, 'name': 'Documentary'}]",0,pt,tt13119046,2024-04-25,2.41,0,0.0,93
The Wronged One,[],0,700213,[],0,en,,2024-10-31,2.41,2000,0.0,0
Paralaxes,"[{'iso_3166_1': 'BR', 'name': 'Brazil'}]",0,1341058,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",0,pt,,2024-10-07,2.409,30,0.0,0
Today We're All Gonna Hide,[],0,1316345,"[{'id': 18, 'name': 'Drama'}]",0,pl,,2024-09-23,2.409,0,0.0,23
Protecting Paradise: The Story of Niue,[],0,1300132,"[{'id': 99, 'name': 'Documentary'}]",3,en,tt32421420,2024-06-07,2.409,0,6.7,45
Coming Down Is The Hardest Thing,[],0,1274529,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]",0,en,,2024-05-04,2.409,0,0.0,11
Donosti 2730,"[{'iso_3166_1': 'ES', 'name': 'Spain'}]",0,1262028,"[{'id': 99, 'name': 'Documentary'}, {'id': 18, 'name': 'Drama'}]",0,es,,2024-03-16,2.409,0,0.0,12
一人之下·锈铁重现,"[{'iso_3166_1': 'CN', 'name': 'China'}]",0,1245103,"[{'id': 16, 'name': 'Animation'}, {'id': 14, 'name': 'Fantasy'}]",1,zh,,2024-02-15,2.409,0,8.0,0
Gill,"[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",0,1280401,"[{'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",0,ko,tt32602819,2024-06-10,2.408,0,0.0,104
Khomkham,"[{'iso_3166_1': 'TH', 'name': 'Thailand'}]",0,1260933,"[{'id': 99, 'name': 'Documentary'}, {'id': 18, 'name': 'Drama'}]",0,th,,2024-02-05,2.408,0,0.0,0
From One Speck to Another,"[{'iso_3166_1': 'CA', 'name': 'Canada'}]",0,1214222,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}]",0,en,tt30810341,2024-01-08,2.408,0,0.0,13
